Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Job Security,Work Life Balance,Work Satisfaction,Promotions
TCS,IT Services & Consulting,Bangalore,420,499,0,3.5,High,Medium,Low,Low
Accenture,IT Services & Consulting,Bangalore,236,30900,66400,3.7,Medium,Medium,Low,Low
Wipro,IT Services & Consulting,Bangalore,363,5600,59600,3.7,High,Medium,Low,Low
Cognizant,IT Services & Consulting,Hyderabad,217,379,56700,3.7,Medium,Medium,Low,Low
Capgemini,IT Services & Consulting,Bangalore,178,1900,48400,3.7,High,High,Low,Low
HDFC Bank,Banking,Mumbai,1743,235,46200,3.8,High,Medium,Medium,Low
Infosys,IT Services & Consulting,Bangalore,235,1600,44600,3.5,High,Medium,Low,Low
ICICI Bank,Banking,Mumbai,1398,8,42500,4.0,High,Medium,Medium,Medium
HCLTech,IT Services & Consulting,Chennai,219,291,41600,3.4,Medium,Medium,Low,Low
Tech Mahindra,IT Services & Consulting,Hyderabad,326,593,39900,3.4,Medium,Medium,Low,Low
Genpact,IT Services & Consulting,Hyderabad,167,387,37900,3.7,High,Medium,Medium,Low
Teleperformance,BPO,Mumbai,244,593,34000,3.9,High,High,Medium,Medium
Axis Bank,Banking,Mumbai,1462,605,29800,3.7,Medium,Medium,Low,Low
Concentrix Corporation,BPO,Bangalore,169,117,29600,3.6,High,Medium,Low,Low
Amazon,Internet,Bangalore,505,1700,28600,4.0,Medium,High,Medium,Low
Jio,Telecom,Mumbai,1733,67,28300,4.3,High,Medium,Medium,Medium
iEnergizer,BPO,Noida,47,42,26200,4.7,Medium,High,High,Medium
Reliance Retail,Retail,Mumbai,1115,77,25200,3.9,High,Medium,Medium,Low
IBM,IT Services & Consulting,Bangalore,158,2600,24200,3.9,High,High,Medium,Low
LTIMindtree,IT Services & Consulting,Bangalore,138,452,23700,3.7,Medium,Medium,Medium,Low
HDB Financial Services,NBFC,Mumbai,1055,188,23300,3.9,High,Medium,Medium,Low
